gene_name,Ref,Site,cFC,mcDiff,t,P.Value,adjusted.P.Value
SNRPD3,SNRPD3_07,SNRPD3_11,-0.418554142577708,-0.124496567541158,-1.72330122468275,0.135604470744515,0.610367820756562
SNRPD3,SNRPD3_08,SNRPD3_11,-0.266536802584647,-0.0915123405107772,-2.09423199126149,0.081122113525953,0.567854794681671
SNRPD3,SNRPD3_09,SNRPD3_11,-0.388208003568323,-0.127729953566917,-1.79928306123212,0.122073564151312,0.610367820756562
SNRPD3,SNRPD3_10,SNRPD3_11,-0.353881583896357,-0.120499631735339,-1.19553003354179,0.276982821105032,0.652863612651793
SNU13,SNU13_01,SNU13_04,-0.216737791461337,-0.0603595088888151,-2.38125576315049,0.0546743860522073,0.164023158156622
SNU13,SNU13_02,SNU13_06,0.499433822097953,0.16263112205542,2.66649032561528,0.0372003606869689,0.148801442747876
SNU13,SNU13_03,SNU13_06,0.362393215779161,0.104850476433092,1.81462027833235,0.119507677935303,0.232494320903489
SNU13,SNU13_04,SNU13_06,0.288488329851445,0.0968674920807746,1.83458535354383,0.116247160451745,0.232494320903489
SNX10,SNX10_01,SNX10_02,-0.40485109143363,-0.131634568959064,-1.10867232515231,0.310022355486366,0.571882209410563
SNX10,SNX10_02,SNX10_03,0.300643033548725,0.099830904729887,1.17114448032585,0.285941104705281,0.571882209410563
SNX12,SNX12_01,SNX12_03,-0.193581329050672,-0.0640492807166619,-0.794639756944135,0.457094605019344,0.914189210038687
SNX12,SNX12_03,SNX12_04,-0.0366463899655174,-0.0129522139828432,-0.247134325693929,0.813043295074896,0.914189210038687
SNX19,SNX19_01,SNX19_02,-0.571130924227612,-0.19819464774797,-2.5721812996737,0.0422109529277702,0.0422109529277702
SNX27,SNX27_01,SNX27_06,-0.282592677325655,-0.0992869635606111,-0.979696688143144,0.365070895509007,0.730141791018014
SNX27,SNX27_02,SNX27_06,-0.218996092614564,-0.0677660693095717,-0.791771203555379,0.458643456442547,0.730141791018014
SNX3,SNX3_01,SNX3_02,0.0768830184558258,0.0190847412993265,0.542715215849482,0.60688121955386,0.60688121955386
SNX30,SNX30_01,SNX30_05,-0.24421525423361,-0.0836206001813272,-1.58982546272628,0.162976511004067,0.325953022008134
SNX30,SNX30_02,SNX30_04,-0.278370936292284,-0.0974726654714663,-3.09657775701267,0.0212089198487104,0.0848356793948418
SNX30,SNX30_03,SNX30_05,-0.277984418721276,-0.0963528638477367,-2.6043207027189,0.0404272072472206,0.121281621741662
SNX30,SNX30_04,SNX30_05,-0.00568566999113773,-0.00193332716110639,-0.0350060991462282,0.973210420366198,0.973210420366198
SNX4,SNX4_01,SNX4_02,-0.462774929354063,-0.155663757436385,-2.47752423754923,0.0479659856685222,0.0479659856685222
SOD2,SOD2_01,SOD2_23,-0.248451907700379,-0.0491040763196676,-7.95764374247768,0.000209544720038104,0.00251453664045724
SOD2,SOD2_06,SOD2_11,-0.357620172857897,-0.12572122116299,-3.68154941032954,0.0103116793122183,0.103116793122183
SOD2,SOD2_07,SOD2_11,-0.392529245746169,-0.1131026473132,-3.12887340338657,0.020353758424988,0.162830067399904
SOD2,SOD2_08,SOD2_11,-0.455185776238976,-0.106923723190584,-4.16774339668072,0.00589332879357004,0.0648266167292705
SOD2,SOD2_10,SOD2_12,-0.299179969137939,-0.100144823935273,-2.55842533636412,0.0429997703131564,0.300998392192095
SOD2,SOD2_11,SOD2_18,0.44414543578335,0.150440098519997,3.59922697591582,0.0113770622066673,0.103116793122183
SOD2,SOD2_12,SOD2_24,0.32294525878658,0.113088545269074,1.59375906347924,0.162099012045873,0.6526404666671
SOD2,SOD2_15,SOD2_24,0.242466704514316,0.0816515518762987,1.75089949492414,0.13052809333342,0.6526404666671
SOD2,SOD2_16,SOD2_24,0.314137219099011,0.109573252875095,1.9915504320913,0.0935148907690306,0.561089344614183
SOD2,SOD2_18,SOD2_23,-0.231908226234998,-0.0746074678040433,-1.42056435942079,0.205262112242704,0.6526404666671
SOD2,SOD2_19,SOD2_23,-0.0853738252780504,-0.0301459162183705,-0.858775288498983,0.423439875878699,0.828956477553699
SOD2,SOD2_23,SOD2_24,0.189999774836122,0.0618984070100734,0.876481317057451,0.41447823877685,0.828956477553699
SORBS1,SORBS1_01,SORBS1_03,-0.0470510507534793,-0.0158238259615787,-0.141495308132233,0.89210997111431,0.89210997111431
SORT1,SORT1_03,SORT1_08,0.149461649074486,0.0527871607208332,0.777623543310531,0.466336748700183,0.466336748700183
SOX4,SOX4_01,SOX4_11,-0.110605172602276,-0.039065559531014,-2.00164583811595,0.0922157680196964,0.553294608118179
SOX4,SOX4_02,SOX4_20,0.169058248843451,0.0585456268594897,0.86079249675293,0.422411693496222,1
SOX4,SOX4_06,SOX4_09,0.35886347739931,0.124562269384148,2.45340369478439,0.0495611908002408,0.346928335601686
SOX4,SOX4_09,SOX4_19,-0.389104937711831,-0.128105913269003,-3.06683516831008,0.0220311778100263,0.17624942248021
SOX4,SOX4_11,SOX4_20,0.139324745424801,0.0470754449499338,0.751211827533384,0.48094026230127,1
SOX4,SOX4_12,SOX4_20,0.232363854765949,0.0733281062213285,0.850732905303867,0.427557535957721,1
